labels_merged,x,y,crispr_guides2,pdam,exdam,idam,irm,img,hm
Homeostatic_Act,0.4005992487210539,2.6322853509308666,KO7,-1.3723195165204398,0.34696088887880816,1.0669689308854506,0.18824391509647942,1.577847357017995,0.8781283502159433
DAMs1,7.504997160186441,2.476371604546104,KO29,0.46352411335165294,0.2696529933876114,0.7324135144673463,-1.5594747864192042,-1.925195696966945,0.4030129598417658
Homeostatic,3.78914851466031,9.903426319518994,KO30,0.7043855502595372,-0.48555255181926577,-0.1907992289057166,-0.6043671220540786,-0.7610940245260938,0.7793204185104701
DAMs,12.041988648694675,9.27705516121788,CTRL,3.1152892868514437,0.3520285094017097,-0.3087445335904449,0.5489694693641705,-1.1290356999012308,-0.7607018528317819
DAMs_Inf,7.875789995102551,2.203908263883583,KO20,0.8662060521491741,0.8457304933194576,-0.7942921966680302,-1.3013314162675016,1.0280007779159852,-1.6261103411041544
DAMs_Inf,9.560474584025345,0.8278449664399468,KO1,0.48407112160436355,0.6345414643200835,0.021604900247363112,0.8486157256744367,0.7628022889838352,-0.404947498110125
DAMs_Inf,7.422112495348848,-0.7250159416682028,CTRL,0.5414981760062407,0.4503181027630059,0.8675206090987584,2.010396176444128,0.4884602149978734,-0.39189586910489815
Homeostatic_Act2,5.060409743566923,6.6579467378741395,KO30,-0.7437735431242153,-0.9118312861818049,0.19219576502395538,-0.19016443317902393,0.3984520428004874,-0.3093558893283209
DAMs,10.985503009570724,7.208800402030307,KO8,0.37213422510645155,0.7730345433957235,-0.429611995677719,-0.36786108449092164,0.17108054636444092,0.03134885820025768
Homeostatic,3.887770616845747,6.663096855581008,KO39,-2.0880251759672657,0.13350776860961905,-0.6602087281974021,-1.484698364882583,-0.1593043231391142,1.5826240897332085
DAMs_Inf,5.171830488919563,-2.023670268710329,CTRL,-1.2267142693814137,1.3317880460253066,1.1608310992085822,1.7993758763495757,0.5358675242724342,-0.8342846135497531
DAMs1,10.171270576225508,3.716073244386947,KO28,0.7256042433860639,-0.18127301232606313,-1.0993257725394474,0.6796671923266973,-0.43235788437951783,0.392079744242576
DAMs2,10.819843936032644,2.4317499914895566,KO22,1.2125987216243266,-1.2927139428461478,0.5931623442151263,-0.20660374012679486,-0.32532492601318924,-0.8109862081436385
